name,height
Asha Besaw,61
Rory Chea,64
Laura Cruz Rosario,63
Natalia Cuttler,66
Jillian Etnel,63
Kristen Flores,61
Alexis Hall,68
Bianca Hiltz,69
Fatima Morrobel,62
Melanie Rodriguez,59
Nakia Usher,58
Julia Wyman,58
Scarlet Astudillo,64
Joscelyn  Galindo,63
Dea Gazheli,63
Amanda Lee,61
Katherine Lee,62
Jillian Quinn,65
Aanya Shukul,69
Nicole  Tarasiuk,67
Joyce  Wong,64
Amy Zeng,62
Jennifer Alvarado,63
Christine  Bailey,62
Elizabeth Bailey,64
Ayatallah Elkotby,72
Hebatallah Elkotby,68
Sydney Gdanski,68
Hailey Johnston,64
Yelyzaveta Kurchak,65
Anastasia Kutuzov,65
Sameeha Yara Malik Shaik,65
Diana Plasencia,65
Maria Scutero,63
Cierra Stenbar,62
Kornelia Buszka,71
Laney Fenton,66
Morgen Frausto,69
Megan Hollaar,69
Ellie Lopez,67
Adi Luker,70
Stephanie Marks,70
Adison Marshall,69
Beata Maruszczyk,63
Joselle Mensah,69
Karissa Metzger,67
Marlene Pape,68
Maja Piotrowicz,73
Ashley Richard,64
Nina Tasic,67
Bayley Thompson,65
Linsey Watson,68
Saylor Wilson,66
Lyssa Wood,69
Aurora Abbruscato,66
Bianka Bukovics,71
Sophia Burwitz,66
Terrah DeLorimiere,63
Luiza Dias,68
McKenzie Fazio,74
Chiara Fuerst,67
Olivia Fuller,68
Atzi Gomez,63
Sarah Gormley,66
Presley Heitzmann,71
Alexis Kachkin,69
Natalia Kralova,69
Helena  Kurtz,64
Tumi Macdonell,68
Keianna Moss,68
Rylee Sitton,67
Caitlyn Sligh,68
Karley Sonnenberg,70
Olivia Terry,65
Logan Wilson,65
Jocelyn Zgola,70
Fifi  Amanuel,64
Julia Caramagna,62
Isabella Hanson,70
Mairin Huston,63
Maddy Joe,62
Grace Korey,70
Camila Mercado,61
Valeria Pages,61
Alazne Sudupe,65
Magdalen Swat,62
Sovy Taylor,65
Rachel Vazquez,65
Cami Yovich,62
Krisztina Balogh,66
Emma Bellars,65
Abby Burns,65
Alisa Dovbnya,68
Laney Fenton,66
Grace Geyer,71
Taylor Jacobson,61
Ashley Konz,68
Emma Lindecke,65
Abbie Masters,63
Teagan Powell,69
Vivian Ravines,68
Faith Ring,63
Sydney Stemley,66
Braelyn Wilson,65
Victoria Zjawin,64
Alexandria Bard,66
Madeline Boyar,65
Ashley Brousseau,69
Veronica Coe,66
Destiny  Duckworth,64
Cadence  Dudley,62
Alexis Gibson,67
Macayla Hodkinson,66
Allison LaBarbera,66
Alaska Lilliock,66
Anna McCall,66
Lena Nakken,69
Paige Splendido,65
Callie Stinson,64
Alyssa Thompson,67
Raina Willie,69
